"BUSINESS";"LANG";"ALIAS"
"Arby's";"en";"fastfood"
"Au Bon Pain";"en";"fastfood"
"Buffalo Wild Wings";"en";"fastfood"
"Burger King";"en";"fastfood"
"Carl's Jr.";"en";"fastfood"
"Dairy Queen";"en";"fastfood"
"Dunkin' Donuts";"en";"fastfood"
"Hardee's";"en";"fastfood"
"Hungry Jack's";"en";"fastfood"
"Jollibee";"en";"fastfood"
"KFC";"en";"fastfood"
"Krispy Kreme";"en";"fastfood"
"Long John Silver's";"en";"fastfood"
"McCafé";"en";"fastfood"
"McDonald's";"en";"fastfood"
"Nando's";"en";"fastfood"
"Quizno's";"en";"fastfood"
"Sonic Drive-In";"en";"fastfood"
"Starbucks";"en";"fastfood"
"Subway";"en";"fastfood"
"Taco Bell";"en";"fastfood"
"TCBY";"en";"fastfood"
"Tim Hortons";"en";"fastfood"
"Wendy's";"en";"fastfood"
"Wendy's Supa Sundaes";"en";"fastfood"
"White Castle";"en";"fastfood"
"Wingstop";"en";"fastfood"
"WingStreet";"en";"fastfood"
