"KEYWORD";"LANG";"CATEGORY"
"pizza";"en";"food"
"coffee";"en";"food"
"cafe";"en";"food"
"restaurant";"en";"food"
"pub";"en";"food"
"accounting";"en";"google"
"airport";"en";"google"
"amusement park";"en";"google"
"aquarium";"en";"google"
"art gallery";"en";"google"
"atm";"en";"google"
"bakery";"en";"google"
"bank";"en";"google"
"bar";"en";"google"
"beauty salon";"en";"google"
"bicycle store";"en";"google"
"book store";"en";"google"
"bowling alley";"en";"google"
"bus station";"en";"google"
"cafe";"en";"google"
"campground";"en";"google"
"car dealer";"en";"google"
"car rental";"en";"google"
"car repair";"en";"google"
"car wash";"en";"google"
"casino";"en";"google"
"cemetery";"en";"google"
"church";"en";"google"
"city hall";"en";"google"
"clothing store";"en";"google"
"convenience store";"en";"google"
"courthouse";"en";"google"
"dentist";"en";"google"
"department store";"en";"google"
"doctor";"en";"google"
"electrician";"en";"google"
"electronics store";"en";"google"
"embassy";"en";"google"
"establishment";"en";"google"
"finance";"en";"google"
"fire station";"en";"google"
"florist";"en";"google"
"food";"en";"google"
"funeral home";"en";"google"
"furniture store";"en";"google"
"gas station";"en";"google"
"petrol station";"en";"google"
"general contractor";"en";"google"
"grocery";"en";"google"
"supermarket";"en";"google"
"gym";"en";"google"
"hair care";"en";"google"
"hardware store";"en";"google"
"health";"en";"google"
"hindu temple";"en";"google"
"home goods store";"en";"google"
"hospital";"en";"google"
"insurance agency";"en";"google"
"jewelry store";"en";"google"
"laundry";"en";"google"
"lawyer";"en";"google"
"library";"en";"google"
"liquor store";"en";"google"
"local government office";"en";"google"
"locksmith";"en";"google"
"lodging";"en";"google"
"meal delivery";"en";"google"
"meal takeaway";"en";"google"
"mosque";"en";"google"
"movie rental";"en";"google"
"movie theater";"en";"google"
"moving company";"en";"google"
"museum";"en";"google"
"night club";"en";"google"
"painter";"en";"google"
"park";"en";"google"
"parking";"en";"google"
"pet store";"en";"google"
"pharmacy";"en";"google"
"physiotherapist";"en";"google"
"place of worship";"en";"google"
"plumber";"en";"google"
"police";"en";"google"
"post office";"en";"google"
"real estate agency";"en";"google"
"restaurant";"en";"google"
"roofing contractor";"en";"google"
"rv park";"en";"google"
"school";"en";"google"
"shoe store";"en";"google"
"shopping mall";"en";"google"
"spa";"en";"google"
"stadium";"en";"google"
"storage";"en";"google"
"store";"en";"google"
"subway station";"en";"google"
"synagogue";"en";"google"
"taxi stand";"en";"google"
"train station";"en";"google"
"transit station";"en";"google"
"travel agency";"en";"google"
"university";"en";"google"
"veterinary care";"en";"google"
"zoo";"en";"google"
"eat";"en";"nokia-here"
"drink";"en";"nokia-here"
"restaurant";"en";"nokia-here"
"coffee";"en";"nokia-here"
"tea";"en";"nokia-here"
"fast food";"en";"nokia-here"
"snacks";"en";"nokia-here"
"sight";"en";"nokia-here"
"museum";"en";"nokia-here"
"airport";"en";"nokia-here"
"transport";"en";"nokia-here"
"accommodation";"en";"nokia-here"
"shopping";"en";"nokia-here"
"leisure";"en";"nokia-here"
"outdoor";"en";"nokia-here"
"administrative area";"en";"nokia-here"
"nature";"en";"nokia-here"
"petrol station";"en";"nokia-here"
"atm";"en";"nokia-here"
"bank";"en";"nokia-here"
"exchange";"en";"nokia-here"
"toilet";"en";"nokia-here"
"hospital";"en";"nokia-here"
"health care";"en";"nokia-here"
"airsoft";"en";"yelp"
"amusement park";"en";"yelp"
"aquarium";"en";"yelp"
"archery";"en";"yelp"
"badminton";"en";"yelp"
"baseball";"en";"yelp"
"basketball";"en";"yelp"
"beach";"en";"yelp"
"bike rental";"en";"yelp"
"boating";"en";"yelp"
"bowling";"en";"yelp"
"carousel";"en";"yelp"
"climbing";"en";"yelp"
"cycling";"en";"yelp"
"camp";"en";"yelp"
"golf";"en";"yelp"
"diving";"en";"yelp"
"scuba diving";"en";"yelp"
"escape games";"en";"yelp"
"fencing";"en";"yelp"
"fishing";"en";"yelp"
"fitness";"en";"yelp"
"barre classes";"en";"yelp"
"boot camp";"en";"yelp"
"boxing";"en";"yelp"
"cardio classes";"en";"yelp"
"dance studio";"en";"yelp"
"golf lesson";"en";"yelp"
"gym";"en";"yelp"
"martial arts";"en";"yelp"
"meditation";"en";"yelp"
"pilates";"en";"yelp"
"qi gong";"en";"yelp"
"swimming school";"en";"yelp"
"tai chi";"en";"yelp"
"trainers";"en";"yelp"
"yoga";"en";"yelp"
"flyboarding";"en";"yelp"
"go karts";"en";"yelp"
"golf";"en";"yelp"
"gun range";"en";"yelp"
"rifle range";"en";"yelp"
"gymnastics";"en";"yelp"
"hang gliding";"en";"yelp"
"hiking";"en";"yelp"
"horse racing";"en";"yelp"
"horseback riding";"en";"yelp"
"hot air balloons";"en";"yelp"
"jet skis";"en";"yelp"
"kids activities";"en";"yelp"
"kiteboarding";"en";"yelp"
"lake";"en";"yelp"
"laser tag";"en";"yelp"
"leisure center";"en";"yelp"
"mini golf";"en";"yelp"
"minigolf";"en";"yelp"
"mountain biking";"en";"yelp"
"nudist";"en";"yelp"
"paddleboarding";"en";"yelp"
"paintball";"en";"yelp"
"park";"en";"yelp"
"dog park";"en";"yelp"
"skate park";"en";"yelp"
"playground";"en";"yelp"
"races";"en";"yelp"
"rafting";"en";"yelp"
"kayaking";"en";"yelp"
"recreation center";"en";"yelp"
"rock climbing";"en";"yelp"
"climbing";"en";"yelp"
"scavenger hunts";"en";"yelp"
"skating rinks";"en";"yelp"
"skydiving";"en";"yelp"
"sledding";"en";"yelp"
"snorkeling";"en";"yelp"
"soccer";"en";"yelp"
"football";"en";"yelp"
"sports club";"en";"yelp"
"squash";"en";"yelp"
"summer camp";"en";"yelp"
"surfing";"en";"yelp"
"swimming pool";"en";"yelp"
"tennis";"en";"yelp"
"trampoline";"en";"yelp"
"tubing";"en";"yelp"
"waterpark";"en";"yelp"
"wildlife hunting";"en";"yelp"
"ziplining";"en";"yelp"
"zoo";"en";"yelp"
"arcades";"en";"yelp"
"art gallery";"en";"yelp"
"galleries";"en";"yelp"
"bingo hall";"en";"yelp"
"botanical garden";"en";"yelp"
"cabaret";"en";"yelp"
"casino";"en";"yelp"
"cinema";"en";"yelp"
"movie theater";"en";"yelp"
"drive-in theater";"en";"yelp"
"outdoor movies";"en";"yelp"
"country club";"en";"yelp"
"cultural center";"en";"yelp"
"farm";"en";"yelp"
"attraction farm";"en";"yelp"
"ranch";"en";"yelp"
"festival";"en";"yelp"
"haunted house";"en";"yelp"
"jazz club";"en";"yelp"
"blues club";"en";"yelp"
"jazz";"en";"yelp"
"blues";"en";"yelp"
"rock";"en";"yelp"
"lan center";"en";"yelp"
"museum";"en";"yelp"
"music venue";"en";"yelp"
"observatory";"en";"yelp"
"opera";"en";"yelp"
"ballet";"en";"yelp"
"paint & sip";"en";"yelp"
"performing arts";"en";"yelp"
"theater";"en";"yelp"
"planetarium";"en";"yelp"
"sports team";"en";"yelp"
"psychic";"en";"yelp"
"astrologer";"en";"yelp"
"race track";"en";"yelp"
"social club";"en";"yelp"
"stadium";"en";"yelp"
"arena";"en";"yelp"
"studio taping";"en";"yelp"
"tickets";"en";"yelp"
"winery";"en";"yelp"
"wine tasting";"en";"yelp"
"auto-moto";"en";"yelp"
"aircraft dealers";"en";"yelp"
"aircraft repair";"en";"yelp"
"auto customization";"en";"yelp"
"auto detailing";"en";"yelp"
"autoglass service";"en";"yelp"
"auto loan providers";"en";"yelp"
"auto repair";"en";"yelp"
"auto upholstery";"en";"yelp"
"upholstery";"en";"yelp"
"boat dealer";"en";"yelp"
"body shop";"en";"yelp"
"car brokers";"en";"yelp"
"car buyers";"en";"yelp"
"car dealers";"en";"yelp"
"car inspectors";"en";"yelp"
"car share services";"en";"yelp"
"car wash";"en";"yelp"
"truck dealers";"en";"yelp"
"truck repair";"en";"yelp"
"fuel docks";"en";"yelp"
"gas station";"en";"yelp"
"service station";"en";"yelp"
"marina";"en";"yelp"
"mobile dent repair";"en";"yelp"
"mobility equipment";"en";"yelp"
"motorcycle dealer";"en";"yelp"
"motorcycle repair";"en";"yelp"
"moto dealer";"en";"yelp"
"moto repair";"en";"yelp"
"oil change";"en";"yelp"
"parking";"en";"yelp"
"rv dealer";"en";"yelp"
"rv repair";"en";"yelp"
"road assistance";"en";"yelp"
"tires";"en";"yelp"
"towing";"en";"yelp"
"trailer dealers";"en";"yelp"
"trailer repair";"en";"yelp"
"truck rental";"en";"yelp"
"vehicle shipping";"en";"yelp"
"vehicle wraps";"en";"yelp"
"wheel repair";"en";"yelp"
"rim repair";"en";"yelp"
"windshield repair";"en";"yelp"
"barber";"en";"yelp"
"cosmetics";"en";"yelp"
"spa";"en";"yelp"
"eyelash";"en";"yelp"
"hair extensions";"en";"yelp"
"hair loss center";"en";"yelp"
"hair removal";"en";"yelp"
"laser hair removal";"en";"yelp"
"sugaring";"en";"yelp"
"threading services";"en";"yelp"
"waxing";"en";"yelp"
"hair salon";"en";"yelp"
"blow dry service";"en";"yelp"
"hair extensions";"en";"yelp"
"hair stylist";"en";"yelp"
"men's hair";"en";"yelp"
"makeup artist";"en";"yelp"
"massage";"en";"yelp"
"medical spa";"en";"yelp"
"nail salon";"en";"yelp"
"spray tanning";"en";"yelp"
"tanning beds";"en";"yelp"
"tattoo";"en";"yelp"
"teeth whitening";"en";"yelp"
"adult education";"en";"yelp"
"art classes";"en";"yelp"
"college counseling";"en";"yelp"
"college";"en";"yelp"
"university";"en";"yelp"
"universities";"en";"yelp"
"educational service";"en";"yelp"
"elementary school";"en";"yelp"
"middle school";"en";"yelp"
"high school";"en";"yelp"
"montessori school";"en";"yelp"
"preschool";"en";"yelp"
"private tutors";"en";"yelp"
"religious school";"en";"yelp"
"special education";"en";"yelp"
"art school";"en";"yelp"
"bartending school";"en";"yelp"
"cpr classes";"en";"yelp"
"childbirth education";"en";"yelp"
"cooking school";"en";"yelp"
"cosmetology school";"en";"yelp"
"dance school";"en";"yelp"
"driving schools";"en";"yelp"
"firearm training";"en";"yelp"
"first aid classes";"en";"yelp"
"flight instruction";"en";"yelp"
"flight instructor";"en";"yelp"
"food safety training";"en";"yelp"
"language school";"en";"yelp"
"massage school";"en";"yelp"
"massage";"en";"yelp"
"nursing school";"en";"yelp"
"parenting classes";"en";"yelp"
"pole dancing classes";"en";"yelp"
"ski school";"en";"yelp"
"swimming lessons";"en";"yelp"
"swimming school";"en";"yelp"
"vocational school";"en";"yelp"
"technical school";"en";"yelp"
"tasting classes";"en";"yelp"
"cheese tasting";"en";"yelp"
"wine tasting classes";"en";"yelp"
"tutoring center";"en";"yelp"
"test preparation";"en";"yelp"
"bartenders";"en";"yelp"
"boat charters";"en";"yelp"
"stationery";"en";"yelp"
"caricatures";"en";"yelp"
"catering";"en";"yelp"
"clowns";"en";"yelp"
"djs";"en";"yelp"
"face painting";"en";"yelp"
"game truck rental";"en";"yelp"
"golf cart rentals";"en";"yelp"
"henna artists";"en";"yelp"
"hotel";"en";"yelp"
"mountain hut";"en";"yelp"
"hut";"en";"yelp"
"cottage";"en";"yelp"
"rest shop";"en";"yelp"
"magician";"en";"yelp"
"mohel";"en";"yelp"
"musicians";"en";"yelp"
"officiants";"en";"yelp"
"event planning";"en";"yelp"
"bike rentals";"en";"yelp"
"party bus";"en";"yelp"
"party characters";"en";"yelp"
"party equipment rental";"en";"yelp"
"party supplies";"en";"yelp"
"personal chef";"en";"yelp"
"photo booth";"en";"yelp"
"photo booth rental";"en";"yelp"
"photographer";"en";"yelp"
"photographers";"en";"yelp"
"event photographer";"en";"yelp"
"session photography";"en";"yelp"
"silent disco";"en";"yelp"
"disco";"en";"yelp"
"trivia host";"en";"yelp"
"valet service";"en";"yelp"
"venues";"en";"yelp"
"videographer";"en";"yelp"
"wedding chappel";"en";"yelp"
"wedding planning";"en";"yelp"
"financial services";"en";"yelp"
"bank";"en";"yelp"
"credit bank";"en";"yelp"
"union bank";"en";"yelp"
"currency exchange";"en";"yelp"
